file_name,file_path,file_size_bytes,file_extension,instrument_model,instrument_name,instrument_serial_number,scan_types,scan_levels,collision_energies,ms2_types,polarity,mz_min,mz_max,rt_min,rt_max,write_time,total_scans,creation_time,error
60920_3_B_2_WEOM_r3_Mag_21Dec23_300SA_p01_25_1_14166.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_B_2_WEOM_r3_Mag_21Dec23_300SA_p01_25_1_14166.d/60920_3_B_2_WEOM_r3_Mag_21Dec23_300SA_p01_25_1_14166.d,0,.d,Error processing 60920_3_B_2_WEOM_r3_Mag_21Dec23_300SA_p01_25_1_14166.d after 1 attempts: /mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_B_2_WEOM_r3_Mag_21Dec23_300SA_p01_25_1_14166.d/60920_3_B_2_WEOM_r3_Mag_21Dec23_300SA_p01_25_1_14166.d does not seem to be a valid Solarix Mass Spectrum,2026-07-01T02:05:03.844536,,,,,,,,,,,,,,
60920_3_B_3_WEOM_r1_Mag_21Dec23_300SA_p01_6_1_14043.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_B_3_WEOM_r1_Mag_21Dec23_300SA_p01_6_1_14043.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.4995,13.4995,2023-12-22T17:39:16-08:00,1.0,2026-07-01T00:03:46.412381,
60920_3_B_3_WEOM_r2_Mag_21Dec23_300SA_p01_6_1_14123.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_B_3_WEOM_r2_Mag_21Dec23_300SA_p01_6_1_14123.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.5029,13.5029,2023-12-25T06:13:58-08:00,1.0,2026-07-01T01:20:45.523071,
60920_3_B_3_WEOM_r2_Mag_21Dec23_300SA_p01_6_1_14123.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_B_3_WEOM_r2_Mag_21Dec23_300SA_p01_6_1_14123.d/60920_3_B_3_WEOM_r2_Mag_21Dec23_300SA_p01_6_1_14123.d,0,.d,Error processing 60920_3_B_3_WEOM_r2_Mag_21Dec23_300SA_p01_6_1_14123.d after 1 attempts: /mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_B_3_WEOM_r2_Mag_21Dec23_300SA_p01_6_1_14123.d/60920_3_B_3_WEOM_r2_Mag_21Dec23_300SA_p01_6_1_14123.d does not seem to be a valid Solarix Mass Spectrum,2026-07-01T01:19:25.782224,,,,,,,,,,,,,,
60920_3_B_3_WEOM_r3_Mag_21Dec23_300SA_p01_6_1_14192.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_B_3_WEOM_r3_Mag_21Dec23_300SA_p01_6_1_14192.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.5007,13.5007,2023-12-26T12:48:45-08:00,1.0,2026-07-01T02:36:26.323946,
60920_3_B_3_WEOM_r3_Mag_21Dec23_300SA_p01_6_1_14192.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_B_3_WEOM_r3_Mag_21Dec23_300SA_p01_6_1_14192.d/60920_3_B_3_WEOM_r3_Mag_21Dec23_300SA_p01_6_1_14192.d,0,.d,Error processing 60920_3_B_3_WEOM_r3_Mag_21Dec23_300SA_p01_6_1_14192.d after 1 attempts: /mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_B_3_WEOM_r3_Mag_21Dec23_300SA_p01_6_1_14192.d/60920_3_B_3_WEOM_r3_Mag_21Dec23_300SA_p01_6_1_14192.d does not seem to be a valid Solarix Mass Spectrum,2026-07-01T02:35:08.595267,,,,,,,,,,,,,,
60920_3_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_5_1_13990.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_5_1_13990.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.5031,13.5031,2023-12-21T18:09:57-08:00,1.0,2026-06-30T23:05:38.088350,
60920_3_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_5_1_13990.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_5_1_13990.d/60920_3_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_5_1_13990.d,0,.d,Error processing 60920_3_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_5_1_13990.d after 1 attempts: /mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_5_1_13990.d/60920_3_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_5_1_13990.d does not seem to be a valid Solarix Mass Spectrum,2026-06-30T23:04:13.986908,,,,,,,,,,,,,,
60920_3_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_5_1_14137.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_5_1_14137.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.5028,13.5028,2023-12-25T12:26:13-08:00,1.0,2026-07-01T01:33:26.373917,
60920_3_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_5_1_14137.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_5_1_14137.d/60920_3_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_5_1_14137.d,0,.d,Error processing 60920_3_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_5_1_14137.d after 1 attempts: /mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_5_1_14137.d/60920_3_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_5_1_14137.d does not seem to be a valid Solarix Mass Spectrum,2026-07-01T01:32:05.685289,,,,,,,,,,,,,,
60920_3_T_2_WEOM_r1_Mag_21Dec23_300SA_p01_24_1_14029.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_T_2_WEOM_r1_Mag_21Dec23_300SA_p01_24_1_14029.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.5032,13.5032,2023-12-22T11:27:00-08:00,1.0,2026-06-30T23:48:51.906422,
60920_3_T_2_WEOM_r2_Mag_21Dec23_300SA_p01_24_1_14092.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_T_2_WEOM_r2_Mag_21Dec23_300SA_p01_24_1_14092.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.5031,13.5031,2023-12-24T16:29:36-08:00,1.0,2026-07-01T00:47:55.943839,
60920_3_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_24_1_14163.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_24_1_14163.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.5009,13.5009,2023-12-25T23:57:36-08:00,1.0,2026-07-01T02:05:00.768523,
60920_3_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_24_1_14163.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_24_1_14163.d/60920_3_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_24_1_14163.d,0,.d,Error processing 60920_3_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_24_1_14163.d after 1 attempts: /mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_24_1_14163.d/60920_3_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_24_1_14163.d does not seem to be a valid Solarix Mass Spectrum,2026-07-01T02:03:42.552224,,,,,,,,,,,,,,
60920_3_T_3_WEOM_r1_Mag_21Dec23_300SA_p01_5_1_14050.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_T_3_WEOM_r1_Mag_21Dec23_300SA_p01_5_1_14050.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.5028,13.5028,2023-12-22T20:45:25-08:00,1.0,2026-07-01T00:11:05.808755,
