raw_file_name,raw_file_type,biosample_id,biosample_name,match_confidence,processedsample_placeholder,material_processing_protocol_id
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_47_S29-D89_B_Rg80to1200-CE205060-soil-S1_Run118.raw,sample,nmdc:bsm-11-62qeyh21,S29_B_D89 hydrophobic,high,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_27_S32-D89_C_Rg80to1200-CE102040-soil-S1_Run170.raw,sample,nmdc:bsm-11-qnnjrr65,S32_C_D89 hydrophilic,high,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_POS_MSMS_31_S40-D30_A_Rg70to1050-CE102040-soil-S1_Run16.raw,sample,nmdc:bsm-11-085vbj75,S40_A_D30 hydrophobic,high,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_26_S32-D89_B_Rg80to1200-CE205060-soil-S1_Run151.raw,sample,nmdc:bsm-11-eft4hz10,S32_B_D89 hydrophilic,high,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_POS_MSMS_9_S32-D30_C_Rg70to1050-CE102040-soil-S1_Run178.raw,sample,nmdc:bsm-11-xzah9h77,S32_C_D30 hydrophilic,high,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_21_S16-D89_C_Rg70to1050-CE102040-soil-S1_Run216.raw,sample,nmdc:bsm-11-5d48pv16,S16_C_D89 hydrophilic,high,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_POS_MSMS_43_S53-D45_A_Rg70to1050-CE102040-soil-S1_Run22.raw,sample,nmdc:bsm-11-s9pzk442,S53_A_D45 hydrophobic,high,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_POS_MSMS_1_S16-D30_A_Rg70to1050-CE102040-soil-S1_Run77.raw,sample,nmdc:bsm-11-bspxw403,S16_A_D30 hydrophilic,high,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_54_S53-D89_C_Rg80to1200-CE102040-soil-S1_Run205.raw,sample,nmdc:bsm-11-36k9py90,S53_C_D89 hydrophobic,high,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_36_S53-D30_C_Rg70to1050-CE102040-soil-S1_Run213.raw,sample,nmdc:bsm-11-k8xjhe51,S53_C_D30 hydrophobic,high,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_POS_MSMS_26_S32-D89_B_Rg70to1050-CE205060-soil-S1_Run147.raw,sample,nmdc:bsm-11-eft4hz10,S32_B_D89 hydrophilic,high,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_POS_MSMS_19_S16-D89_A_Rg70to1050-CE102040-soil-S1_Run83.raw,sample,nmdc:bsm-11-8kc4dg60,S16_A_D89 hydrophilic,high,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_29_S29-D30_B_Rg80to1200-CE205060-soil-S1_Run108.raw,sample,nmdc:bsm-11-w9bg3c13,S29_B_D30 hydrophobic,high,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_POS_MSMS_37_S29-D45_A_Rg70to1050-CE102040-soil-S1_Run25.raw,sample,nmdc:bsm-11-q1kss226,S29_A_D45 hydrophobic,high,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_18_S32-D45_C_Rg80to1200-CE102040-soil-S1_Run236.raw,sample,nmdc:bsm-11-frvbjc93,S32_C_D45 hydrophilic,high,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_5_S17-D30_B_Rg80to1200-CE205060-soil-S1_Run104.raw,sample,nmdc:bsm-11-m6dyp824,S17_B_D30 hydrophilic,high,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_POS_MSMS_16_S32-D45_A_Rg70to1050-CE102040-soil-S1_Run28.raw,sample,nmdc:bsm-11-pmz6mf62,S32_A_D45 hydrophilic,high,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_POS_MSMS_5_S17-D30_B_Rg70to1050-CE205060-soil-S1_Run101.raw,sample,nmdc:bsm-11-m6dyp824,S17_B_D30 hydrophilic,high,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
