sample_id,raw_data_file,processed_data_file,calibration_file,mass_spec_configuration_name,chromat_configuration_name,instrument_used,processing_institution_workflow,processing_institution_generation,instrument_analysis_end_date,instrument_instance_specifier,associated_studies
nmdc:procsm-11-j87qey33,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_60_TALL_A1_POST_NotGr_MST_33.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_60_TALL_A1_POST_NotGr_MST_33.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr25.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-25T03:10:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-sd493t55,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_89_UNDE_A_POST_NotGr_MSTplus5_33.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_89_UNDE_A_POST_NotGr_MSTplus5_33.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr25.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-25T03:55:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-9pk79z49,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_70_DCFS_A1_POST_NotGr_MSTplus5_33.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_70_DCFS_A1_POST_NotGr_MSTplus5_33.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr25.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-25T04:40:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-zrmzet17,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_54_OSBS_A_POST_NotGr_MST_33.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_54_OSBS_A_POST_NotGr_MST_33.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr25.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-25T05:25:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-ga7aw061,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_57_SJER_A_POST_NotGr_MST_33.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_57_SJER_A_POST_NotGr_MST_33.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr25.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-25T06:11:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-r4razr96,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_67_BONA_Oea_POST_NotGr_MSTplus5_33.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_67_BONA_Oea_POST_NotGr_MSTplus5_33.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr25.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-25T06:56:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-s2t6z287,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_9_DSNY_A_PRE_NotGr_NA_NA.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_9_DSNY_A_PRE_NotGr_NA_NA.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr25.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-25T07:41:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-cgyhky35,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_68_CLBJ_A1_POST_NotGr_MSTplus5_33.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_68_CLBJ_A1_POST_NotGr_MSTplus5_33.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr25.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-25T08:27:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-57817958,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_85_SOAP_A_POST_NotGr_MSTplus5_33.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_85_SOAP_A_POST_NotGr_MSTplus5_33.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr25.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-25T09:12:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-csqsb609,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_49_KONZ_A1_POST_NotGr_MST_33.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_49_KONZ_A1_POST_NotGr_MST_33.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr25.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-25T09:57:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-gg9br574,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_38_BARR_Oaf_POST_NotGr_MST_33.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_38_BARR_Oaf_POST_NotGr_MST_33.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr25.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-25T10:42:00Z,,['nmdc:sty-11-8bjf2432']
