description,gold_biosample_identifiers,id,insdc_biosample_identifiers,name,samp_name
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144884'],nmdc:bsm-11-q870t302,['biosample:SAMN06269029'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES018 metaT",GEODES018 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144886'],nmdc:bsm-11-3jnvb928,['biosample:SAMN06269031'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES021 metaT",GEODES021 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144889'],nmdc:bsm-11-tsd7z567,['biosample:SAMN06269034'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES026 metaT",GEODES026 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144891'],nmdc:bsm-11-c4d9zp83,['biosample:SAMN06269036'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES028 metaT",GEODES028 metaT
"Dystrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144921'],nmdc:bsm-11-b9yyvf42,['biosample:SAMN06265118'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA - GEODES071 metaT",GEODES071 metaT
"Dystrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144923'],nmdc:bsm-11-pnrv7w92,['biosample:SAMN06264891'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA- GEODES074 metaT","Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA- GEODES074 metaT"
"Eutrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144978'],nmdc:bsm-11-tpxcn956,['biosample:SAMN06269042'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES159 metaT",GEODES159 metaT
"Lake water microbial communities from Wisconsin, USA",['gold:Gb0148832'],nmdc:bsm-11-fn20g128,['biosample:SAMN07630514'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES036 metaT",GEODES036 metaT
"Eutrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144956'],nmdc:bsm-11-0br06j81,['biosample:SAMN06264371'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES130 metaT",GEODES130 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144880'],nmdc:bsm-11-186rqh54,['biosample:SAMN06269025'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES014 metaT",GEODES014 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144899'],nmdc:bsm-11-btz6yg89,['biosample:SAMN06265112'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES038 metaT",GEODES038 metaT
"Dystrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144919'],nmdc:bsm-11-mac4ny66,['biosample:SAMN06265196'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA - GEODES069 metaT",GEODES069 metaT
"Eutrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144952'],nmdc:bsm-11-wx8j4g29,['biosample:SAMN06264889'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES125 metaT",GEODES125 metaT
"Eutrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144963'],nmdc:bsm-11-803whg09,['biosample:SAMN06265123'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES139 metaT",GEODES139 metaT
"Eutrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144976'],nmdc:bsm-11-ne7eez40,['biosample:SAMN06269040'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES157 metaT",GEODES157 metaT
"Eutrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144977'],nmdc:bsm-11-5q4zmg21,['biosample:SAMN06269041'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES158 metaT",GEODES158 metaT
"Lake water microbial communities from Wisconsin, USA",['gold:Gb0148847'],nmdc:bsm-11-4s5apf45,['biosample:SAMN07630529'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA - GEODES072 metaT",GEODES072 metaT
"Lake water microbial communities from Wisconsin, USA",['gold:Gb0148853'],nmdc:bsm-11-8perqc97,['biosample:SAMN07630535'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES164 metaT",GEODES164 metaT
