file_name,file_path,file_size_bytes,file_extension,instrument_model,instrument_name,instrument_serial_number,analyzer,ionization_type,experiment_type,polarity,mz_min,mz_max,rt_min,rt_max,tic_min,tic_max,write_time,total_scans,creation_time
EMSL_38_BARR_Oaf_POST_NotGr_MST_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_38_BARR_Oaf_POST_NotGr_MST_33.cdf,9308956,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.4000244140625,6.099766666666667,37.47673333333333,25579.0,60710976.0,2023-04-25T10:42:00,5017,2023-04-25T18:29:00.260000
EMSL_8_DELA_A_PRE_NotGr_NA_NA.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_8_DELA_A_PRE_NotGr_NA_NA.cdf,10945612,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,50.0,599.5999755859375,6.099783333333334,37.47675,31316.0,92902064.0,2023-04-25T07:02:00,5017,2023-04-26T02:49:37.430000
EMSL_73_GRSM_A_POST_NotGr_MSTplus5_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_73_GRSM_A_POST_NotGr_MSTplus5_33.cdf,10296280,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,50.0,599.5999755859375,6.0998,37.47676666666667,21292.0,84253720.0,2023-04-25T04:47:00,5017,2023-04-26T00:48:10.030000
EMSL_64_ABBY_A_POST_NotGr_MSTplus5_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_64_ABBY_A_POST_NotGr_MSTplus5_33.cdf,17579212,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.7999877929688,6.099833333333334,37.476800000000004,53686.0,91437312.0,2023-04-25T05:32:00,5017,2023-04-26T01:18:45.580000
EMSL_86_STEI_A1_POST_NotGr_MSTplus5_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_86_STEI_A1_POST_NotGr_MSTplus5_33.cdf,15644956,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.5999755859375,6.099683333333333,37.47665,49092.0,92002144.0,2023-04-25T06:17:00,5017,2023-04-26T02:05:49.310000
EMSL_84_SJER_A_POST_NotGr_MSTplus5_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_84_SJER_A_POST_NotGr_MSTplus5_33.cdf,5424556,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,50.0,599.4000244140625,6.099766666666667,37.47673333333333,18140.0,69185456.0,2023-04-25T07:48:00,5017,2023-04-26T03:34:40.330000
EMSL_81_OSBS_A_POST_NotGr_MSTplus5_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_81_OSBS_A_POST_NotGr_MSTplus5_33.cdf,5493988,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.2999877929688,6.099833333333334,37.476800000000004,19486.0,72101048.0,2023-04-25T10:03:00,5017,2023-04-26T05:49:48.300000
EMSL_65_BARR_Oaf_POST_NotGr_MSTplus5_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_65_BARR_Oaf_POST_NotGr_MSTplus5_33.cdf,6095740,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.4000244140625,6.099500000000001,37.47646666666667,18832.0,24799970.0,2023-04-25T08:33:00,5017,2023-04-26T04:18:41.180000
EMSL_7_DCFS_A1_PRE_NotGr_NA_NA.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_7_DCFS_A1_PRE_NotGr_NA_NA.cdf,10478548,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.7000122070312,6.09955,37.476533333333336,22526.0,89905344.0,2023-04-25T09:18:00,5017,2023-04-26T05:06:29.280000
EMSL_75_JORN_Ak_POST_NotGr_MSTplus5_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_75_JORN_Ak_POST_NotGr_MSTplus5_33.cdf,3832924,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,50.0,599.2000122070312,6.09975,37.47671666666667,8575.0,74558608.0,2023-04-25T10:49:00,5017,2023-04-26T06:35:42.990000
EMSL_44_DELA_A_POST_NotGr_MST_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_44_DELA_A_POST_NotGr_MST_33.cdf,6804076,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,50.0,599.5,6.099500000000001,37.47646666666667,20251.0,87190864.0,2023-04-25T11:34:00,5017,2023-04-26T07:23:40.720000
EMSL_22_SOAP_A_PRE_NotGr_NA_NA.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_22_SOAP_A_PRE_NotGr_NA_NA.cdf,8461552,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.9000244140625,6.09955,37.47651666666666,20013.0,90034112.0,2023-04-26T12:19:00,5017,2023-04-26T08:08:38.020000
EMSL_76_KONZ_A1_POST_NotGr_MSTplus5_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_76_KONZ_A1_POST_NotGr_MSTplus5_33.cdf,9824152,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.5999755859375,6.099716666666667,37.476683333333334,26721.0,88013808.0,2023-04-26T01:05:00,5017,2023-04-26T08:51:46.540000
EMSL_3_BLAN_Ap1_PRE_NotGr_NA_NA.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_3_BLAN_Ap1_PRE_NotGr_NA_NA.cdf,4036684,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.2999877929688,6.099766666666667,37.47673333333333,10593.0,29690160.0,2023-04-26T02:35:00,5017,2023-04-26T10:22:46.500000
EMSL_58_SOAP_A_POST_NotGr_MST_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_58_SOAP_A_POST_NotGr_MST_33.cdf,8806000,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.5999755859375,6.0997,37.47666666666667,24924.0,87935304.0,2023-04-26T01:50:00,5017,2023-04-26T09:36:40.940000
EMSL_52_NGPR_A_POST_NotGr_MST_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_52_NGPR_A_POST_NotGr_MST_33.cdf,10821808,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.7000122070312,6.099666666666667,37.47663333333333,33865.0,91192776.0,2023-04-26T04:06:00,5017,2023-04-26T11:54:09.610000
EMSL_50_MLBS_A_POST_NotGr_MST_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_50_MLBS_A_POST_NotGr_MST_33.cdf,18612220,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.7000122070312,6.0996,37.47656666666667,51071.0,94855960.0,2023-04-26T03:20:00,5017,2023-04-26T11:09:06.680000
EMSL_12_JORN_Ak_PRE_NotGr_NA_NA.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_12_JORN_Ak_PRE_NotGr_NA_NA.cdf,6187024,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.5999755859375,6.099866666666667,37.47683333333334,20907.0,89333176.0,2023-04-26T05:36:00,5017,2023-04-26T13:24:15.090000
EMSL_6_CPER_A1_PRE_NotGr_NA_NA.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_6_CPER_A1_PRE_NotGr_NA_NA.cdf,5813920,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.4000244140625,6.099633333333333,37.4766,21732.0,84180624.0,2023-04-26T04:51:00,5017,2023-04-26T12:37:34.810000
EMSL_78_MOAB_A_POST_NotGr_MSTplus5_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_78_MOAB_A_POST_NotGr_MSTplus5_33.cdf,3986092,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.2999877929688,6.09975,37.47671666666667,10659.0,75599152.0,2023-04-26T06:22:00,5017,2023-04-26T14:10:00.130000
GCMS_FAMEs_01_GCMS03_2023Apr27.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr27.cdf,1778524,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,50.0,495.20001220703125,6.099816666666666,37.476800000000004,383.0,1020261.0,2023-04-27T03:50:00,5017,2023-04-27T23:37:08.180000
GCMS_FAMEs_02_GCMS03_2023Apr25.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_02_GCMS03_2023Apr25.cdf,3010936,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,518.2000122070312,6.0994,37.47638333333334,8495.0,2621941.0,2023-04-26T07:53:00,5017,2023-04-26T15:40:40.440000
EMSL_69_CPER_A1_POST_NotGr_MSTplus5_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_69_CPER_A1_POST_NotGr_MSTplus5_33.cdf,6865720,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.5999755859375,6.099716666666667,37.476683333333334,17106.0,84739672.0,2023-04-27T06:06:00,5017,2023-04-28T01:52:36.290000
EMSL_24_TALL_A1_PRE_NotGr_NA_NA.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_24_TALL_A1_PRE_NotGr_NA_NA.cdf,12747112,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,50.0,599.9000244140625,6.099633333333333,37.4766,20285.0,86560680.0,2023-04-27T05:21:00,5017,2023-04-28T01:07:38.750000
EMSL_5_CLBJ_A1_PRE_NotGr_NA_NA.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_5_CLBJ_A1_PRE_NotGr_NA_NA.cdf,3636208,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,50.0,599.4000244140625,6.099666666666667,37.47663333333333,8396.0,70520880.0,2023-04-27T08:22:00,5017,2023-04-28T04:08:39.470000
EMSL_59_STEI_A1_POST_NotGr_MST_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_59_STEI_A1_POST_NotGr_MST_33.cdf,14653216,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,50.0,599.5999755859375,6.0994166666666665,37.47638333333334,32813.0,92630088.0,2023-04-27T09:07:00,5017,2023-04-28T04:55:10.700000
EMSL_79_NGPR_A_POST_NotGr_MSTplus5_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_79_NGPR_A_POST_NotGr_MSTplus5_33.cdf,12686308,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.7000122070312,6.099833333333334,37.476800000000004,31008.0,87384640.0,2023-04-27T07:37:00,5017,2023-04-28T03:23:44.780000
EMSL_2_BARR_Oaf_PRE_NotGr_NA_NA.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_2_BARR_Oaf_PRE_NotGr_NA_NA.cdf,15442888,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,50.0,599.4000244140625,6.09965,37.47663333333333,26136.0,76095312.0,2023-04-27T06:51:00,5017,2023-04-28T02:39:41.280000
EMSL_55_RMNP_A1_POST_NotGr_MST_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_55_RMNP_A1_POST_NotGr_MST_33.cdf,10917304,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.5,6.09975,37.47671666666667,28160.0,89341704.0,2023-04-27T09:53:00,5017,2023-04-28T05:41:07.520000
EMSL_48_JORN_Ak_POST_NotGr_MST_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_48_JORN_Ak_POST_NotGr_MST_33.cdf,3834904,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.9000244140625,6.0998,37.47676666666667,8680.0,86023760.0,2023-04-27T10:38:00,5017,2023-04-28T06:26:01.370000
EMSL_87_TALL_A1_POST_NotGr_MSTplus5_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_87_TALL_A1_POST_NotGr_MSTplus5_33.cdf,8815648,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.5,6.099833333333334,37.476800000000004,19219.0,87010480.0,2023-04-28T12:09:00,5017,2023-04-28T07:58:07.250000
EMSL_82_RMNP_A1_POST_NotGr_MSTplus5_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_82_RMNP_A1_POST_NotGr_MSTplus5_33.cdf,9294448,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.5999755859375,6.0998,37.47678333333333,21461.0,87998008.0,2023-04-28T12:54:00,5017,2023-04-28T08:42:13.700000
