raw_data_identifier,biosample_id,biosample_name,material_processing_protocol_id,match_confidence,processedsample_placeholder
Miesel_60009_10_GRSM_A_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9114,nmdc:bsm-11-v9wwsa76,EMSL 10 GRSM_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_10_GRSM_A_PRE_Met_SPE_r1_30Jan23_Fir_300SA_IATp03_9180,nmdc:bsm-11-v9wwsa76,EMSL 10 GRSM_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_10_GRSM_A_PRE_Met_SPE_r2_300SA_IATp03_9560,nmdc:bsm-11-v9wwsa76,EMSL 10 GRSM_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_11_HEAL_Oae_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_8999,nmdc:bsm-11-57n0am19,EMSL 11 HEAL_Oae_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_11_HEAL_Oae_PRE_H2O_SPE_r2_28Jan23_Alder_300SA_IATp03_9093,nmdc:bsm-11-57n0am19,EMSL 11 HEAL_Oae_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_11_HEAL_Oae_PRE_Met_SPE_r1_300SA_IATp03_9285,nmdc:bsm-11-57n0am19,EMSL 11 HEAL_Oae_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_11_HEAL_Oae_PRE_Met_SPE_r2_300SA_IATp03_9631,nmdc:bsm-11-57n0am19,EMSL 11 HEAL_Oae_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_12_JORN_Ak_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9062,nmdc:bsm-11-x6051v50,EMSL 12 JORN_Ak_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_12_JORN_Ak_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9147,nmdc:bsm-11-x6051v50,EMSL 12 JORN_Ak_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_12_JORN_Ak_PRE_Met_SPE_r1_300SA_IATp03_9273,nmdc:bsm-11-x6051v50,EMSL 12 JORN_Ak_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_12_JORN_Ak_PRE_Met_SPE_r2_300SA_IATp03_9610,nmdc:bsm-11-x6051v50,EMSL 12 JORN_Ak_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_13_KONZ_A1_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9070,nmdc:bsm-11-czpa0a23,EMSL 13 KONZ_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_13_KONZ_A1_PRE_H2O_SPE_r2_28Jan23_Alder_300SA_IATp03_9091,nmdc:bsm-11-czpa0a23,EMSL 13 KONZ_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_13_KONZ_A1_PRE_Met_SPE_r1_300SA_IATp03_9289,nmdc:bsm-11-czpa0a23,EMSL 13 KONZ_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_13_KONZ_A1_PRE_Met_SPE_r2_300SA_IATp03_9593,nmdc:bsm-11-czpa0a23,EMSL 13 KONZ_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_14_MLBS_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9071,nmdc:bsm-11-kypvs876,EMSL 14 MLBS_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_14_MLBS_A_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9128,nmdc:bsm-11-kypvs876,EMSL 14 MLBS_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_14_MLBS_A_PRE_Met_SPE_r1_30Jan23_Fir_300SA_IATp03_9173,nmdc:bsm-11-kypvs876,EMSL 14 MLBS_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_14_MLBS_A_PRE_Met_SPE_r2_300SA_IATp03_9628,nmdc:bsm-11-kypvs876,EMSL 14 MLBS_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_15_MOAB_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9018,nmdc:bsm-11-37ythp65,EMSL 15 MOAB_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_15_MOAB_A_PRE_H2O_SPE_r2_28Jan23_Alder_300SA_IATp03_9079,nmdc:bsm-11-37ythp65,EMSL 15 MOAB_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_15_MOAB_A_PRE_Met_SPE_r1_300SA_IATp03_9262,nmdc:bsm-11-37ythp65,EMSL 15 MOAB_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_15_MOAB_A_PRE_Met_SPE_r2_300SA_IATp03_9643,nmdc:bsm-11-37ythp65,EMSL 15 MOAB_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_16_NGPR_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9022,nmdc:bsm-11-z2299p05,EMSL 16 NGPR_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_16_NGPR_A_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9160,nmdc:bsm-11-z2299p05,EMSL 16 NGPR_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_16_NGPR_A_PRE_Met_SPE_r1_30Jan23_Fir_300SA_IATp03_9196,nmdc:bsm-11-z2299p05,EMSL 16 NGPR_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_16_NGPR_A_PRE_Met_SPE_r2_300SA_IATp03_9603,nmdc:bsm-11-z2299p05,EMSL 16 NGPR_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_17_NIWO_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9047,nmdc:bsm-11-188dzv79,EMSL 17 NIWO_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_17_NIWO_A_PRE_H2O_SPE_r2_28Jan23_Alder_300SA_IATp03_9104,nmdc:bsm-11-188dzv79,EMSL 17 NIWO_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_17_NIWO_A_PRE_Met_SPE_r1_300SA_IATp03_9294,nmdc:bsm-11-188dzv79,EMSL 17 NIWO_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_17_NIWO_A_PRE_Met_SPE_r2_300SA_IATp03_9562,nmdc:bsm-11-188dzv79,EMSL 17 NIWO_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_18_OSBS_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9054,nmdc:bsm-11-cxebp875,EMSL 18 OSBS_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_18_OSBS_A_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9130,nmdc:bsm-11-cxebp875,EMSL 18 OSBS_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_18_OSBS_A_PRE_Met_SPE_r1_30Jan23_Fir_300SA_IATp03_9191,nmdc:bsm-11-cxebp875,EMSL 18 OSBS_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_18_OSBS_A_PRE_Met_SPE_r2_300SA_IATp03_9589,nmdc:bsm-11-cxebp875,EMSL 18 OSBS_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_19_RMNP_A1_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9032,nmdc:bsm-11-v9e14793,EMSL 19 RMNP_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_19_RMNP_A1_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9126,nmdc:bsm-11-v9e14793,EMSL 19 RMNP_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_19_RMNP_A1_PRE_Met_SPE_r1_30Jan23_Fir_300SA_IATp03_9179,nmdc:bsm-11-v9e14793,EMSL 19 RMNP_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_19_RMNP_A1_PRE_Met_SPE_r2_300SA_IATp03_9584,nmdc:bsm-11-v9e14793,EMSL 19 RMNP_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_20_SERC_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9012,nmdc:bsm-11-s5hdh733,EMSL 20 SERC_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_20_SERC_A_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9148,nmdc:bsm-11-s5hdh733,EMSL 20 SERC_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_20_SERC_A_PRE_Met_SPE_r1_30Jan23_Fir_300SA_IATp03_9189,nmdc:bsm-11-s5hdh733,EMSL 20 SERC_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_20_SERC_A_PRE_Met_SPE_r2_300SA_IATp03_9629,nmdc:bsm-11-s5hdh733,EMSL 20 SERC_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_21_SJER_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_8990,nmdc:bsm-11-bbsdg778,EMSL 21 SJER_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_21_SJER_A_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9137,nmdc:bsm-11-bbsdg778,EMSL 21 SJER_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_21_SJER_A_PRE_Met_SPE_r1_300SA_IATp03_9251,nmdc:bsm-11-bbsdg778,EMSL 21 SJER_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_21_SJER_A_PRE_Met_SPE_r2_300SA_IATp03_9597,nmdc:bsm-11-bbsdg778,EMSL 21 SJER_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_22_SOAP_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9057,nmdc:bsm-11-zz785q05,EMSL 22 SOAP_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_22_SOAP_A_PRE_H2O_SPE_r2_28Jan23_Alder_300SA_IATp03_9085,nmdc:bsm-11-zz785q05,EMSL 22 SOAP_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_22_SOAP_A_PRE_Met_SPE_r1_30Jan23_Fir_300SA_IATp03_9184,nmdc:bsm-11-zz785q05,EMSL 22 SOAP_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_22_SOAP_A_PRE_Met_SPE_r2_300SA_IATp03_9579,nmdc:bsm-11-zz785q05,EMSL 22 SOAP_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_23_STEI_A1_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9033,nmdc:bsm-11-m7137540,EMSL 23 STEI_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_23_STEI_A1_PRE_H2O_SPE_r2_28Jan23_Alder_300SA_IATp03_9094,nmdc:bsm-11-m7137540,EMSL 23 STEI_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_23_STEI_A1_PRE_Met_SPE_r1_30Jan23_Fir_300SA_IATp03_9192,nmdc:bsm-11-m7137540,EMSL 23 STEI_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_23_STEI_A1_PRE_Met_SPE_r2_300SA_IATp03_9623,nmdc:bsm-11-m7137540,EMSL 23 STEI_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_24_TALL_A1_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9043,nmdc:bsm-11-t7eq2555,EMSL 24 TALL_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_24_TALL_A1_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9131,nmdc:bsm-11-t7eq2555,EMSL 24 TALL_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_24_TALL_A1_PRE_Met_SPE_r1_30Jan23_Fir_300SA_IATp03_9241,nmdc:bsm-11-t7eq2555,EMSL 24 TALL_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_24_TALL_A1_PRE_Met_SPE_r2_300SA_IATp03_9587,nmdc:bsm-11-t7eq2555,EMSL 24 TALL_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_25_TREE_A1_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9029,nmdc:bsm-11-5pr0md39,EMSL 25 TREE_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_25_TREE_A1_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9162,nmdc:bsm-11-5pr0md39,EMSL 25 TREE_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_25_TREE_A1_PRE_Met_SPE_r1_300SA_IATp03_9292,nmdc:bsm-11-5pr0md39,EMSL 25 TREE_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_25_TREE_A1_PRE_Met_SPE_r2_300SA_IATp03_9565,nmdc:bsm-11-5pr0md39,EMSL 25 TREE_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_26_UNDE_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_8996,nmdc:bsm-11-3tk5be27,EMSL 26 UNDE_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_26_UNDE_A_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9155,nmdc:bsm-11-3tk5be27,EMSL 26 UNDE_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_26_UNDE_A_PRE_Met_SPE_r1_300SA_IATp03_9279,nmdc:bsm-11-3tk5be27,EMSL 26 UNDE_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_26_UNDE_A_PRE_Met_SPE_r2_300SA_IATp03_9640,nmdc:bsm-11-3tk5be27,EMSL 26 UNDE_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_27_WREF_A1_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9060,nmdc:bsm-11-81nkhg93,EMSL 27 WREF_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_27_WREF_A1_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9107,nmdc:bsm-11-81nkhg93,EMSL 27 WREF_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_27_WREF_A1_PRE_Met_SPE_r1_300SA_IATp03_9277,nmdc:bsm-11-81nkhg93,EMSL 27 WREF_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_27_WREF_A1_PRE_Met_SPE_r2_300SA_IATp03_9598,nmdc:bsm-11-81nkhg93,EMSL 27 WREF_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_37_ABBY_A_POST_MST_33_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9021,nmdc:bsm-11-t2j2tb83,EMSL 37 ABBY_A_POST_NotGr_MST_33,ALL,high,ProcessedSample6_NOM
Miesel_60009_37_ABBY_A_POST_MST_33_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9118,nmdc:bsm-11-t2j2tb83,EMSL 37 ABBY_A_POST_NotGr_MST_33,ALL,high,ProcessedSample6_NOM
Miesel_60009_37_ABBY_A_POST_MST_33_Met_SPE_r1_30Jan23_Fir_300SA_IATp03_9178,nmdc:bsm-11-t2j2tb83,EMSL 37 ABBY_A_POST_NotGr_MST_33,ALL,high,ProcessedSample7_NOM
Miesel_60009_37_ABBY_A_POST_MST_33_Met_SPE_r2_300SA_IATp03_9630,nmdc:bsm-11-t2j2tb83,EMSL 37 ABBY_A_POST_NotGr_MST_33,ALL,high,ProcessedSample7_NOM
Miesel_60009_38_BARR_Oaf_POST_MST_33_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9053,nmdc:bsm-11-g55mqq95,EMSL 38 BARR_Oaf_POST_NotGr_MST_33,ALL,high,ProcessedSample6_NOM
Miesel_60009_38_BARR_Oaf_POST_MST_33_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9142,nmdc:bsm-11-g55mqq95,EMSL 38 BARR_Oaf_POST_NotGr_MST_33,ALL,high,ProcessedSample6_NOM
Miesel_60009_38_BARR_Oaf_POST_MST_33_Met_SPE_r1_30Jan23_Fir_300SA_IATp03_9183,nmdc:bsm-11-g55mqq95,EMSL 38 BARR_Oaf_POST_NotGr_MST_33,ALL,high,ProcessedSample7_NOM
Miesel_60009_38_BARR_Oaf_POST_MST_33_Met_SPE_r2_300SA_IATp03_9635,nmdc:bsm-11-g55mqq95,EMSL 38 BARR_Oaf_POST_NotGr_MST_33,ALL,high,ProcessedSample7_NOM
Miesel_60009_39_BLAN_Ap1_POST_MST_33_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_8994,nmdc:bsm-11-0n65yd98,EMSL 39 BLAN_Ap1_POST_NotGr_MST_33,ALL,high,ProcessedSample6_NOM
Miesel_60009_39_BLAN_Ap1_POST_MST_33_H2O_SPE_r2_28Jan23_Alder_300SA_IATp03_9089,nmdc:bsm-11-0n65yd98,EMSL 39 BLAN_Ap1_POST_NotGr_MST_33,ALL,high,ProcessedSample6_NOM
Miesel_60009_39_BLAN_Ap1_POST_MST_33_Met_SPE_r1_300SA_IATp03_9260,nmdc:bsm-11-0n65yd98,EMSL 39 BLAN_Ap1_POST_NotGr_MST_33,ALL,high,ProcessedSample7_NOM
