raw_data_file_short,file_path,is_calibration,calibration_file
60920_10_T_3_WEOM_r2_Mag_21Dec23_300SA_p01_18_1_14122.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_3_WEOM_r2_Mag_21Dec23_300SA_p01_18_1_14122.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r2_Mag_21Dec23_300SA_p01_54_1_14119.d
60920_10_T_3_WEOM_r3_Mag_21Dec23_300SA_p01_18_1_14180.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_3_WEOM_r3_Mag_21Dec23_300SA_p01_18_1_14180.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r3_Mag_21Dec23_300SA_p01_54_1_14164.d
60920_11_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_19_1_13987.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_11_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_19_1_13987.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r0_Mag_21Dec23_300SA_p01_54_1_13983.d
60920_11_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_19_1_14007.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_11_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_19_1_14007.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r0_Mag_21Dec23_300SA_p01_54_1_13983.d
60920_11_T_1_WEOM_r2_Mag_21Dec23_300SA_p01_19_1_14060.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_11_T_1_WEOM_r2_Mag_21Dec23_300SA_p01_19_1_14060.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r1_Mag_21Dec23_300SA_p01_54_1_14052.d
60920_11_T_1_WEOM_r2_Mag_21Dec23_300SA_p01_19_1_14074.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_11_T_1_WEOM_r2_Mag_21Dec23_300SA_p01_19_1_14074.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r1_Mag_21Dec23_300SA_p01_54_1_14052.d
60920_11_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_19_1_14139.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_11_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_19_1_14139.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r2_Mag_21Dec23_300SA_p01_54_1_14119.d
60920_11_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_19_1_14141.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_11_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_19_1_14141.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r2_Mag_21Dec23_300SA_p01_54_1_14119.d
60920_11_T_2_WEOM_r1_Mag_21Dec23_300SA_p01_38_1_14028.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_11_T_2_WEOM_r1_Mag_21Dec23_300SA_p01_38_1_14028.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r1_Mag_21Dec23_300SA_p01_54_1_14008.d
60920_11_T_2_WEOM_r2_Mag_21Dec23_300SA_p01_38_1_14104.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_11_T_2_WEOM_r2_Mag_21Dec23_300SA_p01_38_1_14104.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r2_Mag_21Dec23_300SA_p01_54_1_14097.d
60920_11_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_38_1_14171.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_11_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_38_1_14171.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r3_Mag_21Dec23_300SA_p01_54_1_14164.d
60920_11_T_3_WEOM_r1_Mag_21Dec23_300SA_p01_19_1_14044.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_11_T_3_WEOM_r1_Mag_21Dec23_300SA_p01_19_1_14044.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r1_Mag_21Dec23_300SA_p01_54_1_14030.d
60920_11_T_3_WEOM_r2_Mag_21Dec23_300SA_p01_19_1_14118.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_11_T_3_WEOM_r2_Mag_21Dec23_300SA_p01_19_1_14118.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r2_Mag_21Dec23_300SA_p01_54_1_14097.d
60920_11_T_3_WEOM_r3_Mag_21Dec23_300SA_p01_19_1_14198.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_11_T_3_WEOM_r3_Mag_21Dec23_300SA_p01_19_1_14198.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r3_Mag_21Dec23_300SA_p01_54_1_14186.d
60920_2_B_1_WEOM_r1_Mag_21Dec23_300SA_p01_4_1_14002.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_B_1_WEOM_r1_Mag_21Dec23_300SA_p01_4_1_14002.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r0_Mag_21Dec23_300SA_p01_54_1_13983.d
60920_2_B_1_WEOM_r2_Mag_21Dec23_300SA_p01_4_1_14064.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_B_1_WEOM_r2_Mag_21Dec23_300SA_p01_4_1_14064.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r1_Mag_21Dec23_300SA_p01_54_1_14052.d
60920_2_B_1_WEOM_r3_Mag_21Dec23_300SA_p01_4_1_14144.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_B_1_WEOM_r3_Mag_21Dec23_300SA_p01_4_1_14144.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r3_Mag_21Dec23_300SA_p01_54_1_14142.d
60920_2_B_2_WEOM_r1_Mag_21Dec23_300SA_p01_23_1_14018.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_B_2_WEOM_r1_Mag_21Dec23_300SA_p01_23_1_14018.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r1_Mag_21Dec23_300SA_p01_54_1_14008.d
60920_2_B_2_WEOM_r2_Mag_21Dec23_300SA_p01_23_1_14090.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_B_2_WEOM_r2_Mag_21Dec23_300SA_p01_23_1_14090.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r2_Mag_21Dec23_300SA_p01_54_1_14075.d
60920_2_B_2_WEOM_r3_Mag_21Dec23_300SA_p01_23_1_14157.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_B_2_WEOM_r3_Mag_21Dec23_300SA_p01_23_1_14157.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r3_Mag_21Dec23_300SA_p01_54_1_14142.d
60920_2_B_3_WEOM_r1_Mag_21Dec23_300SA_p01_4_1_14054.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_B_3_WEOM_r1_Mag_21Dec23_300SA_p01_4_1_14054.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r1_Mag_21Dec23_300SA_p01_54_1_14052.d
60920_2_B_3_WEOM_r2_Mag_21Dec23_300SA_p01_4_1_14110.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_B_3_WEOM_r2_Mag_21Dec23_300SA_p01_4_1_14110.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r2_Mag_21Dec23_300SA_p01_54_1_14097.d
60920_2_B_3_WEOM_r3_Mag_21Dec23_300SA_p01_4_1_14183.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_B_3_WEOM_r3_Mag_21Dec23_300SA_p01_4_1_14183.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r3_Mag_21Dec23_300SA_p01_54_1_14164.d
60920_2_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_3_1_13995.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_3_1_13995.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r0_Mag_21Dec23_300SA_p01_54_1_13983.d
60920_2_T_1_WEOM_r2_Mag_21Dec23_300SA_p01_3_1_14078.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_T_1_WEOM_r2_Mag_21Dec23_300SA_p01_3_1_14078.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r2_Mag_21Dec23_300SA_p01_54_1_14075.d
60920_2_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_3_1_14133.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_3_1_14133.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r2_Mag_21Dec23_300SA_p01_54_1_14119.d
60920_2_T_2_WEOM_r1_Mag_21Dec23_300SA_p01_22_1_14023.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_T_2_WEOM_r1_Mag_21Dec23_300SA_p01_22_1_14023.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r1_Mag_21Dec23_300SA_p01_54_1_14008.d
60920_2_T_2_WEOM_r2_Mag_21Dec23_300SA_p01_22_1_14101.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_T_2_WEOM_r2_Mag_21Dec23_300SA_p01_22_1_14101.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r2_Mag_21Dec23_300SA_p01_54_1_14097.d
60920_2_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_22_1_14168.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_22_1_14168.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r3_Mag_21Dec23_300SA_p01_54_1_14164.d
60920_2_T_3_WEOM_r1_Mag_21Dec23_300SA_p01_3_1_14049.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_T_3_WEOM_r1_Mag_21Dec23_300SA_p01_3_1_14049.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r1_Mag_21Dec23_300SA_p01_54_1_14030.d
60920_2_T_3_WEOM_r2_Mag_21Dec23_300SA_p01_3_1_14112.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_T_3_WEOM_r2_Mag_21Dec23_300SA_p01_3_1_14112.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r2_Mag_21Dec23_300SA_p01_54_1_14097.d
60920_2_T_3_WEOM_r3_Mag_21Dec23_300SA_p01_3_1_14196.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_T_3_WEOM_r3_Mag_21Dec23_300SA_p01_3_1_14196.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r3_Mag_21Dec23_300SA_p01_54_1_14186.d
60920_3_B_1_WEOM_r1_Mag_21Dec23_300SA_p01_6_1_14010.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_B_1_WEOM_r1_Mag_21Dec23_300SA_p01_6_1_14010.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r1_Mag_21Dec23_300SA_p01_54_1_14008.d
60920_3_B_1_WEOM_r2_Mag_21Dec23_300SA_p01_6_1_14067.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_B_1_WEOM_r2_Mag_21Dec23_300SA_p01_6_1_14067.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r1_Mag_21Dec23_300SA_p01_54_1_14052.d
60920_3_B_1_WEOM_r3_Mag_21Dec23_300SA_p01_6_1_14146.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_B_1_WEOM_r3_Mag_21Dec23_300SA_p01_6_1_14146.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r3_Mag_21Dec23_300SA_p01_54_1_14142.d
60920_3_B_2_WEOM_r1_Mag_21Dec23_300SA_p01_25_1_14027.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_B_2_WEOM_r1_Mag_21Dec23_300SA_p01_25_1_14027.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r1_Mag_21Dec23_300SA_p01_54_1_14008.d
60920_3_B_2_WEOM_r2_Mag_21Dec23_300SA_p01_25_1_14083.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_B_2_WEOM_r2_Mag_21Dec23_300SA_p01_25_1_14083.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r2_Mag_21Dec23_300SA_p01_54_1_14075.d
60920_3_B_2_WEOM_r3_Mag_21Dec23_300SA_p01_25_1_14166.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_B_2_WEOM_r3_Mag_21Dec23_300SA_p01_25_1_14166.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r3_Mag_21Dec23_300SA_p01_54_1_14164.d
60920_3_B_3_WEOM_r1_Mag_21Dec23_300SA_p01_6_1_14043.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_B_3_WEOM_r1_Mag_21Dec23_300SA_p01_6_1_14043.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r1_Mag_21Dec23_300SA_p01_54_1_14030.d
60920_3_B_3_WEOM_r2_Mag_21Dec23_300SA_p01_6_1_14123.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_B_3_WEOM_r2_Mag_21Dec23_300SA_p01_6_1_14123.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r2_Mag_21Dec23_300SA_p01_54_1_14119.d
60920_3_B_3_WEOM_r3_Mag_21Dec23_300SA_p01_6_1_14192.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_B_3_WEOM_r3_Mag_21Dec23_300SA_p01_6_1_14192.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r3_Mag_21Dec23_300SA_p01_54_1_14186.d
60920_3_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_5_1_13990.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_5_1_13990.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r0_Mag_21Dec23_300SA_p01_54_1_13983.d
60920_3_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_5_1_14137.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_5_1_14137.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r2_Mag_21Dec23_300SA_p01_54_1_14119.d
